8.7,20,3.8,8.9,63,12.3,63,6,26,1018.7,19.8,38,7,20,1017
6,19.4,4,10.9,48,10.6,62,7,13,1018,19,40,7,19,1015.1
8.8,10.8,4.8,0,43,8.9,94,8,17,1022.7,8.7,89,8,13,1023
8.4,14.3,2.2,1.6,54,10.7,91,7,9,1013.4,13.3,79,7,9,1009.6
8.2,14.4,1.2,7.5,54,10.6,70,7,20,1020,13.8,66,5,30,1021.1
9.7,16.1,2.6,11.3,28,12.2,71,3,15,1025.6,14.8,68,1,20,1022.3
8.6,21.4,5,4.7,43,12,72,7,26,1013.1,19.7,48,7,22,1007
10.8,18,3.2,7.5,54,14,69,7,17,1002.9,13.8,56,7,26,1003.1
9.8,17.6,4.2,7.4,46,13.4,54,7,20,1009.6,16.6,51,6,28,1010.7
6.7,21.6,3.2,6.4,63,11.9,69,1,20,1009.6,20.6,42,7,24,1002.4
10.6,17,4.6,9.6,74,12.5,56,3,19,1000.7,16.8,43,3,30,999.6
10.7,16.2,8,9.2,72,13.1,41,3,30,1009.5,14.8,34,4,26,1011.9
6.7,19.3,4,10.2,56,11.6,55,6,20,1021.5,17,39,5,20,1019.5
11.3,24.4,6.6,11.2,57,15.6,52,4,19,1020.4,19,53,1,15,1021
10.9,24,6.8,11.3,30,13.9,69,7,20,1025.2,22.6,44,7,17,1022.7
11.1,28.7,6.4,12.2,39,16.3,59,7,13,1022.7,27.8,25,7,19,1020.6
15.3,31.9,6,11.2,43,19.2,55,7,19,1021.3,26.6,34,7,19,1016.3
17.1,24.8,9.2,4.8,46,19.8,47,7,7,1009.6,24,57,7,26,1006.9
9.8,18.1,4,12.4,57,12.3,59,2,19,1018.6,16,42,3,24,1020.7
9,19.5,4,7.4,50,14.1,54,3,20,1017.7,17.3,48,7,30,1014.2
11.1,21.6,6.4,11.8,43,14.5,56,4,7,1012.6,20.6,35,4,20,1010.5
11.6,19.7,5.6,4,35,17.6,55,6,13,1013.4,19,56,8,9,1012.1
